,date_index,rsrp,rsrq,wbcqi
527,6005,-83,-2,15
528,6004,-83,-2,15
529,6003,-83,-2,15
530,6002,-83,-2,15
531,6001,-83,-2,15
532,6000,-83,-2,15
533,5999,-83,-2,15
534,5998,-83,-2,15
535,5997,-83,-2,15
536,5996,-83,-2,15
537,5995,-83,-2,15
538,5994,-83,-2,15
539,5993,-83,-2,15
540,5992,-83,-2,15
541,5991,-83,-2,15
542,5990,-83,-2,15
543,5989,-83,-2,15
544,5988,-83,-2,15
545,5987,-83,-2,15
546,5986,-83,-2,15
547,5985,-83,-2,15
548,5984,-83,-2,15
549,5983,-83,-2,15
550,5982,-83,-2,15
551,5981,-83,-2,15
552,5980,-83,-2,15
553,5979,-83,-2,15
554,5978,-83,-2,15
555,5977,-83,-2,15
556,5976,-83,-2,15
557,5975,-83,-2,15
558,5974,-83,-2,15
559,5973,-83,-2,15
560,5972,-83,-2,15
561,5971,-83,-2,15
562,5970,-83,-2,15
563,5969,-83,-2,15
564,5968,-83,-2,15
565,5967,-83,-2,15
566,5966,-83,-2,15
567,5965,-83,-2,15
568,5964,-83,-2,15
569,5963,-83,-2,15
570,5962,-83,-2,15
571,5961,-83,-2,15
572,5960,-83,-2,15
573,5959,-83,-2,15
574,5958,-83,-2,15
575,5957,-83,-2,15
576,5956,-83,-2,15
577,5955,-83,-2,15
578,5954,-83,-2,15
579,5953,-83,-2,15
580,5952,-83,-2,15
581,5951,-83,-2,15
582,5950,-83,-2,15
583,5949,-83,-2,15
584,5948,-83,-2,15
585,5947,-83,-2,15
586,5946,-83,-2,15
587,5945,-83,-2,15
588,5944,-83,-2,15
589,5943,-83,-2,15
590,5942,-83,-2,15
591,5941,-83,-2,15
592,5940,-83,-2,15
593,5939,-83,-2,15
594,5938,-83,-2,15
595,5937,-83,-2,15
596,5936,-83,-2,15
597,5935,-83,-2,15
598,5934,-83,-2,15
599,5933,-83,-2,15
600,5932,-83,-2,15
601,5931,-83,-2,15
602,5930,-83,-2,15
603,5929,-83,-2,15
604,5928,-83,-2,15
605,5927,-83,-2,15
606,5926,-83,-2,15
607,5925,-83,-2,15
608,5924,-83,-2,15
609,5923,-83,-2,15
610,5922,-83,-2,15
611,5921,-83,-2,15
612,5920,-83,-2,15
613,5919,-83,-2,15
614,5918,-83,-2,15
615,5917,-83,-2,15
616,5916,-83,-2,15
617,5915,-83,-2,15
618,5914,-83,-2,15
619,5913,-83,-2,15
620,5912,-83,-2,15
621,5911,-83,-2,15
622,5910,-83,-2,15
623,5909,-83,-2,15
624,5908,-83,-2,15
625,5907,-83,-2,15
626,5906,-83,-2,15
627,5905,-83,-2,15
628,5904,-83,-2,15
629,5903,-83,-2,15
630,5902,-83,-2,15
631,5901,-83,-2,15
632,5900,-83,-2,15
633,5899,-83,-2,15
634,5898,-83,-2,15
635,5897,-83,-2,15
636,5896,-83,-2,15
637,5895,-83,-2,15
638,5894,-83,-2,15
639,5893,-83,-2,15
640,5892,-83,-2,15
641,5891,-83,-2,15
642,5890,-83,-2,15
643,5889,-83,-2,15
644,5888,-83,-2,15
645,5887,-83,-2,15
646,5886,-83,-2,15
647,5885,-83,-2,15
648,5884,-83,-2,15
649,5883,-83,-2,15
650,5882,-83,-2,15
651,5881,-83,-2,15
652,5880,-83,-2,15
653,5879,-83,-2,15
654,5878,-83,-2,15
655,5877,-83,-2,15
656,5876,-83,-2,15
657,5875,-83,-2,15
658,5874,-83,-2,15
659,5873,-83,-2,15
660,5872,-83,-2,15
661,5871,-83,-2,15
662,5870,-83,-2,15
663,5869,-83,-2,15
664,5868,-83,-2,15
665,5867,-83,-2,15
666,5866,-83,-2,15
667,5865,-83,-2,15
668,5864,-83,-2,15
669,5863,-83,-2,15
670,5862,-83,-2,15
671,5861,-83,-2,15
672,5860,-83,-2,15
673,5859,-83,-2,15
674,5858,-83,-2,15
675,5857,-83,-2,15
676,5856,-83,-2,15
677,5855,-83,-2,15
678,5854,-83,-2,15
679,5853,-83,-2,15
680,5852,-83,-2,15
681,5851,-83,-2,15
682,5850,-83,-2,15
683,5849,-83,-2,15
684,5848,-83,-2,15
685,5847,-83,-2,15
686,5846,-83,-2,15
687,5845,-83,-2,15
688,5844,-83,-2,15
689,5843,-83,-2,15
690,5842,-83,-2,15
691,5841,-83,-2,15
692,5840,-83,-2,15
693,5839,-83,-2,15
694,5838,-83,-2,15
695,5837,-83,-2,15
696,5836,-83,-2,15
697,5835,-83,-2,15
698,5834,-83,-2,15
699,5833,-83,-2,15
700,5832,-83,-2,15
701,5831,-83,-2,15
702,5830,-83,-2,15
703,5829,-83,-2,15
704,5828,-83,-2,15
705,5827,-83,-2,15
706,5826,-83,-2,15
707,5825,-83,-2,15
708,5824,-83,-2,15
709,5823,-83,-2,15
710,5822,-83,-2,15
711,5821,-83,-2,15
712,5820,-83,-2,15
713,5819,-83,-2,15
714,5818,-83,-2,15
715,5817,-83,-2,15
716,5816,-83,-2,15
717,5815,-83,-2,15
718,5814,-83,-2,15
719,5813,-83,-2,15
720,5812,-83,-2,15
721,5811,-83,-2,15
722,5810,-83,-2,15
723,5809,-83,-2,15
724,5808,-83,-2,15
725,5807,-83,-2,15
726,5806,-83,-2,15
727,5805,-83,-2,15
728,5804,-83,-2,15
729,5803,-83,-2,15
730,5802,-83,-2,15
731,5801,-83,-2,15
732,5800,-83,-2,15
733,5799,-83,-2,15
734,5798,-83,-2,15
735,5797,-83,-2,15
736,5796,-83,-2,15
737,5795,-83,-2,15
738,5794,-83,-2,15
739,5793,-83,-2,15
740,5792,-83,-2,15
741,5791,-83,-2,15
742,5790,-83,-2,15
743,5789,-83,-2,15
744,5788,-83,-2,15
745,5787,-83,-2,15
746,5786,-83,-2,15
747,5785,-83,-2,15
748,5784,-83,-2,15
749,5783,-83,-2,15
750,5782,-83,-2,15
751,5781,-83,-2,15
752,5780,-83,-2,15
